datetime,open,high,low,close,volume,symbol
2025-05-26 17:30:00+03:00,280.75,281.0,279.25,280.0,2000736,THYAO
2025-05-27 09:30:00+03:00,280.5,283.0,280.5,282.0,0,THYAO
2025-05-27 10:30:00+03:00,282.0,282.5,278.5,278.75,3687418,THYAO
2025-05-27 11:30:00+03:00,279.0,279.0,277.25,278.25,5110519,THYAO
2025-05-27 12:30:00+03:00,278.0,278.5,277.5,277.75,1264960,THYAO
2025-05-27 13:30:00+03:00,278.0,278.25,276.75,277.25,2306968,THYAO
2025-05-27 14:30:00+03:00,277.25,277.25,276.0,276.75,2289744,THYAO
2025-05-27 15:30:00+03:00,276.5,277.25,276.25,276.5,1465859,THYAO
2025-05-27 16:30:00+03:00,276.5,277.25,276.0,276.25,2307433,THYAO
2025-05-27 17:30:00+03:00,276.25,277.0,275.5,275.75,3026942,THYAO
2025-05-28 09:30:00+03:00,275.5,277.0,274.5,276.0,0,THYAO
2025-05-28 10:30:00+03:00,275.75,277.5,275.75,277.0,2709642,THYAO
2025-05-28 11:30:00+03:00,277.0,279.0,276.75,277.25,3129179,THYAO
2025-05-28 12:30:00+03:00,277.25,277.75,276.5,277.5,1500423,THYAO
2025-05-28 13:30:00+03:00,277.25,277.75,276.75,277.5,1149617,THYAO
2025-05-28 14:30:00+03:00,277.5,278.0,276.5,277.0,2625052,THYAO
2025-05-28 15:30:00+03:00,277.0,277.0,275.75,276.5,1524192,THYAO
2025-05-28 16:30:00+03:00,276.5,276.75,274.75,276.25,1967540,THYAO
2025-05-28 17:30:00+03:00,276.25,277.25,275.75,276.5,2280532,THYAO
2025-05-29 09:30:00+03:00,278.75,279.5,277.25,277.75,0,THYAO
2025-05-29 10:30:00+03:00,277.75,278.75,277.5,278.25,1336004,THYAO
2025-05-29 11:30:00+03:00,278.25,279.0,277.75,279.0,2023823,THYAO
2025-05-29 12:30:00+03:00,278.75,279.0,277.75,278.75,1605773,THYAO
2025-05-29 13:30:00+03:00,278.5,280.25,278.25,279.75,3048418,THYAO
2025-05-29 14:30:00+03:00,279.5,281.0,278.0,279.0,3502788,THYAO
2025-05-29 15:30:00+03:00,279.25,280.0,278.75,280.0,1870993,THYAO
2025-05-29 16:30:00+03:00,280.0,280.25,278.0,279.75,3869685,THYAO
2025-05-29 17:30:00+03:00,279.75,279.75,278.5,278.75,1483733,THYAO
2025-05-30 09:30:00+03:00,279.0,280.25,277.25,278.0,0,THYAO
2025-05-30 10:30:00+03:00,278.0,279.25,277.25,278.75,3284460,THYAO
2025-05-30 11:30:00+03:00,278.75,279.25,278.0,278.5,1577285,THYAO
2025-05-30 12:30:00+03:00,278.5,279.25,275.25,275.75,3407180,THYAO
2025-05-30 13:30:00+03:00,275.75,277.0,275.5,276.75,1342159,THYAO
2025-05-30 14:30:00+03:00,276.75,276.75,274.0,274.25,1840285,THYAO
2025-05-30 15:30:00+03:00,274.25,275.5,273.75,274.25,2658959,THYAO
